timestamp_local,sede_id,checador_ip,modo,desde_dia,hasta_dia_excl,status,insertados,actualizados,eventos
2025-11-04T14:03:39.292125-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,86,14,191
2025-11-04T14:08:39.710427-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,70,10,151
2025-11-04T14:13:40.150298-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,99,14,216
2025-11-04T14:18:40.725037-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,106,15,236
2025-11-04T14:23:41.292593-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,66,12,147
2025-11-04T14:28:41.834784-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,84,20,195
2025-11-04T14:33:42.424568-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,78,11,170
2025-11-04T14:38:42.974728-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,96,14,211
2025-11-04T14:43:43.550441-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,104,12,226
2025-11-04T14:48:44.156841-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,95,11,206
2025-11-04T14:53:44.751527-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,64,6,136
2025-11-04T14:58:45.248488-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,91,16,203
2025-11-04T15:03:45.884337-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,109,10,231
2025-11-04T15:08:46.429353-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,100,16,223
2025-11-04T15:57:23.431105-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,91,18,209
2025-11-04T16:02:23.993453-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,98,15,218
2025-11-04T16:07:24.588953-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,64,14,146
2025-11-04T16:12:25.374950-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,62,12,141
2025-11-04T16:17:25.965865-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,94,16,208
2025-11-04T16:22:26.611830-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,77,11,169
2025-11-04T16:27:27.155773-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,67,10,145
2025-11-04T16:32:27.720037-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,95,14,210
2025-11-04T16:37:28.270498-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,69,12,153
2025-11-04T16:42:28.834856-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,83,15,185
2025-11-04T16:47:29.443371-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,95,19,219
2025-11-04T16:52:30.071220-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,95,20,218
2025-11-04T16:57:30.728475-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,77,18,175
2025-11-04T17:02:31.267010-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,82,9,177
2025-11-04T17:07:31.783501-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,88,26,212
2025-11-04T17:12:32.294650-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,67,17,153
2025-11-04T17:17:33.241140-06:00,1,192.168.1.101,SIM,2025-10-28,2025-11-05,OK,98,23,227
